IPV4_SRC_ADDR,IPV4_DST_ADDR,flow_count,distance,demand
106.21.55.11,85.245.12.32,782147,9901.32200092118,0.0015210105439916702
212.15.170.48,198.196.184.15,726179,8638.18273590177,0.00790587506407174
119.173.142.158,198.196.184.15,560525,9949.454578268553,0.002070382399992765
212.15.170.48,8.249.67.106,558654,8638.18273590177,0.001974101023987552
119.173.142.158,8.249.67.106,550297,9949.454578268553,0.001969445647987456
68.203.156.78,85.245.12.32,502394,7624.485045430884,0.0006933770560011122
121.45.142.225,109.14.115.188,371916,16556.701245236898,0.0135712554639908
136.94.240.213,198.196.184.15,268652,0.0,0.0009330069159979776
116.171.108.189,20.229.43.72,247385,8464.080384689474,0.003230522244011502
136.94.240.213,8.249.67.106,213061,0.0,0.0006245975840006492
12.0.230.98,109.14.115.188,186880,7617.193429377907,0.0003426459360000775
89.159.255.164,30.64.210.243,130126,7617.99669533246,0.01803351400002813
89.159.255.164,215.29.182.254,117483,7617.99669533246,0.013208064568017049
106.21.55.11,47.88.223.99,116138,3839.1275345135577,8.341004000012607e-05
106.21.55.11,30.64.210.243,115312,11342.13273053755,5.0887671999885306e-05
106.21.55.11,204.91.42.144,114509,11342.13273053755,4.7555103999905036e-05
106.21.55.11,46.216.152.85,114496,6736.720311607191,4.760215199990396e-05
106.21.55.11,94.38.71.77,114479,11342.13273053755,4.7540095999904704e-05
106.21.55.11,80.31.202.103,114471,9879.628495253239,4.75904079999046e-05
106.21.55.11,141.139.86.158,114318,11342.13273053755,4.742239199990535e-05
106.21.55.11,5.9.222.138,114315,7836.582759796299,4.758099999990457e-05
106.21.55.11,101.197.54.142,114311,0.0,4.760413599990412e-05
106.21.55.11,39.83.158.164,114302,0.0,4.755723199990505e-05
106.21.55.11,14.150.91.237,114299,1292.615973908434,4.7481679999905744e-05
106.21.55.11,82.219.67.139,114298,8395.76027185781,4.7491911999905476e-05
106.21.55.11,75.246.164.85,114297,11291.003256570895,4.7430887999905546e-05
106.21.55.11,78.55.181.74,114294,7655.864435994143,4.743780799990576e-05
106.21.55.11,159.200.154.164,114290,7959.411115642339,4.7538575999905634e-05
106.21.55.11,137.53.156.196,114287,9466.642972425914,4.74661519999046e-05
106.21.55.11,74.54.156.240,114285,11342.13273053755,4.751923999990526e-05
106.21.55.11,123.61.139.21,114279,0.0,4.7390767999905674e-05
106.21.55.11,108.30.58.143,114276,11606.002013867868,4.746891999990491e-05
89.159.255.164,50.61.241.238,112770,4496.751327678997,0.05851422619199643
89.159.255.164,65.185.154.253,100150,6518.384651981874,0.011968522272012606
218.195.169.175,198.196.184.15,81307,11342.13273053755,0.00024096746400001538
89.159.255.164,198.196.184.15,79599,7617.99669533246,0.0007928471360004156
45.122.4.197,198.196.184.15,73240,11342.13273053755,0.00024195884800011955
197.90.46.127,198.196.184.15,73047,14827.116544077515,0.0002569691280000763
214.23.238.165,198.196.184.15,72710,0.0,0.00024193430400011926
147.242.177.222,198.196.184.15,72377,0.0,0.0002573518640000584
137.24.247.67,198.196.184.15,72344,0.0,0.00024104979200011866
125.105.212.129,198.196.184.15,72302,11342.13273053755,0.00024197828000012203
137.180.172.57,198.196.184.15,71754,0.0,0.00024199557600012886
110.122.55.108,68.21.163.44,71056,10120.588680929191,0.00016674097999999293
97.177.245.4,198.196.184.15,66512,1129.9867876900137,0.0002413933440002316
106.21.55.11,69.187.127.246,65798,11342.13273053755,0.00015019412800026648
207.170.136.203,198.196.184.15,63925,0.0,0.00023179710400018837
37.170.224.192,198.196.184.15,63513,7617.193429377907,0.00024294552000026274
85.106.108.252,198.196.184.15,63446,9800.916151138823,0.0002427759200002607
206.239.123.111,198.196.184.15,63298,0.0,0.00024283940000026507
162.113.196.74,198.196.184.15,63245,0.0,0.00024296287600026562
8.159.54.252,198.196.184.15,63233,11352.107747603122,0.00024279298400026547
75.113.103.174,198.196.184.15,63221,1867.99418989486,0.00024266676000026462
85.29.176.31,198.196.184.15,62868,10264.757255154414,0.0002428992000002657
91.60.96.157,198.196.184.15,62736,7817.198461014339,0.00024302344000026757
102.254.166.208,8.249.67.106,61476,14611.043928240762,0.0006271808240001208
208.116.194.157,8.249.67.106,61456,915.8017899815077,0.0008705676920000463
6.137.182.30,8.249.67.106,61447,0.0,0.002309048419999511
22.79.101.76,8.249.67.106,61440,0.0,0.0028660668680004124
207.170.136.203,117.235.162.235,61254,13006.336660850233,0.0026977056760025915
221.244.173.140,62.185.7.85,61118,9230.076465705744,0.0028943144800001267
17.233.102.0,62.185.7.85,61116,8166.801649003929,0.0010261250840000312
80.158.159.207,86.190.158.122,61108,669.3091766534218,0.021258439668000215
108.250.93.92,62.185.7.85,60910,6552.873819993745,0.0054401167560000655
200.68.84.27,62.185.7.85,60909,11424.999037188032,0.007512481407999941
89.159.255.164,73.206.177.93,60087,8108.902705047887,0.006670792388001099
207.52.140.98,55.54.9.187,59658,0.0,0.0025400838399983455
136.94.240.213,149.130.67.171,59594,0.0,0.002797573184001643
121.246.4.46,62.185.7.85,59538,7030.7982728312345,0.00200124548399999
170.18.206.160,149.130.67.171,59355,8369.241436798065,0.0006003886879999685
51.158.117.217,198.196.184.15,59248,7617.99669533246,0.00019807448400011282
202.162.16.20,62.185.7.85,58983,10971.359017802983,0.002387390587999997
89.159.255.164,78.55.181.74,58920,883.3769804921662,0.09479799144396733
175.191.203.34,62.185.7.85,58693,8152.909697371892,0.002198889296000009
106.21.55.11,62.185.7.85,58267,8152.909697371892,4.83760639999751e-05
106.21.55.11,59.242.161.252,58002,0.0,4.488267199997513e-05
